Quantity;ProductName
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;iPhone 14 Pro
1;iPhone 14 Pro
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
1;Galaxy S22 Ultra
2;Pixel 7 Pro
2;OnePlus 10T 5G
1;Pixel 7 Pro
1;OnePlus 10T 5G
1;Asus Zenfone 9
1;Galaxy Z Fold 4
1;Pixel 7 Pro
1;Asus Zenfone 9
1;OnePlus 10T 5G
